time,x_error,y_error,distance_error
1773611722920965832,-0.4792887568473816,-0.3147071301937103,-0.3348793387413025
1773611722970848737,-0.4915134012699127,-0.303337037563324,-0.3514668345451355
1773611723040634118,-0.48746949434280396,-0.30758973956108093,-0.3456069827079773
1773611723106508708,-0.5067062973976135,-0.295859694480896,-0.3669532835483551
1773611723175562617,-0.5028002262115479,-0.30145394802093506,-0.3601510524749756
1773611723235172530,-0.5174161195755005,-0.29416608810424805,-0.3749947249889374
1773611723317016425,-0.5136582255363464,-0.2996423840522766,-0.368367999792099
1773611723372232283,-0.5171405076980591,-0.3000319302082062,-0.3702070415019989
1773611723445746053,-0.5171405076980591,-0.3000319302082062,-0.3702070415019989
1773611723588804636,-0.5171405076980591,-0.3000319302082062,-0.3702070415019989
1773611723625401197,-0.5060568451881409,-0.3093262314796448,-0.35605713725090027
1773611723709489180,-0.49861523509025574,-0.31168133020401,-0.34957578778266907
1773611723761363428,-0.4793693423271179,-0.3131371736526489,-0.33612099289894104
1773611723827304112,-0.46746307611465454,-0.3089352250099182,-0.3313496708869934
1773611723901962208,-0.43665504455566406,-0.31804394721984863,-0.3035282492637634
1773611723980515136,-0.39791354537010193,-0.3207206428050995,-0.273736834526062
1773611724028605128,-0.3551718294620514,-0.3085559904575348,-0.24890512228012085
1773611724097124504,-0.30025526881217957,-0.29214751720428467,-0.2136973887681961
1773611724167221914,-0.31674155592918396,-0.24559226632118225,-0.2519754469394684
1773611724230416306,-0.3437483608722687,-0.21506258845329285,-0.290334552526474
1773611724309130572,-0.31259214878082275,-0.21280691027641296,-0.2635717988014221
1773611724365625507,-0.2725347876548767,-0.19650599360466003,-0.23367874324321747
1773611724432567615,-0.2813153862953186,-0.17535392940044403,-0.24958589673042297
1773611724499418965,-0.26049289107322693,-0.1618899255990982,-0.23441725969314575
1773611724566855691,-0.23057186603546143,-0.14787860214710236,-0.20993179082870483
1773611724640748740,-0.23270446062088013,-0.12188451737165451,-0.2185392677783966
1773611724709114302,-0.19197595119476318,-0.1056392639875412,-0.1820647120475769
1773611724771887049,-0.1668170690536499,-0.08166657388210297,-0.16112670302391052
1773611724840256865,-0.15062463283538818,-0.05003409832715988,-0.14853991568088531
1773611724906058068,-0.15300917625427246,-0.02430122159421444,-0.1525147706270218
1773611724972098374,-0.14529889822006226,-0.0020354108419269323,-0.14529547095298767
1773611725039412683,-0.11603426933288574,0.01179499551653862,-0.11592455208301544
1773611725107774412,-0.11955142021179199,0.04784184321761131,-0.11773877590894699
1773611725174917332,-0.09851479530334473,0.051764000207185745,-0.09646156430244446
1773611725234864174,-0.0646321177482605,0.05292786285281181,-0.06259146332740784
1773611725305137996,-0.076271653175354,0.053364284336566925,-0.07416153699159622
1773611725370522030,-0.04106992483139038,0.05720048025250435,-0.0387660413980484
1773611725437519262,-0.0651596188545227,0.05798287317156792,-0.06270940601825714
1773611725513417842,-0.10986447334289551,0.057029444724321365,-0.10732913017272949
1773611725575496269,-0.08839648962020874,0.06119656190276146,-0.0855722576379776
1773611725638705721,-0.07729959487915039,0.06335057318210602,-0.07432320713996887
1773611725706780487,-0.08839648962020874,0.06119656190276146,-0.0855722576379776
1773611725776055377,-0.07678592205047607,0.05836047977209091,-0.07426103949546814
1773611725842425706,-0.09924876689910889,0.059090036898851395,-0.09657150506973267
1773611725906662977,-0.09949314594268799,0.06152913346886635,-0.09658971428871155
1773611725975164060,-0.08789527416229248,0.056260816752910614,-0.08550925552845001
1773611726044997613,-0.08789527416229248,0.056260816752910614,-0.08550925552845001
1773611726115987575,-0.08789527416229248,0.056260816752910614,-0.08550925552845001
1773611726180467781,-0.07678592205047607,0.05836047977209091,-0.07426103949546814
1773611726245502209,-0.07678592205047607,0.05836047977209091,-0.07426103949546814
1773611726315832922,-0.07678592205047607,0.05836047977209091,-0.07426103949546814
1773611726379827850,-0.07678592205047607,0.05836047977209091,-0.07426103949546814
1773611726446432099,-0.07678592205047607,0.05836047977209091,-0.07426103949546814
1773611726513771896,-0.07678592205047607,0.05836047977209091,-0.07426103949546814
1773611726580904293,-0.07678592205047607,0.05836047977209091,-0.07426103949546814
1773611726650233320,-0.07678592205047607,0.05836047977209091,-0.07426103949546814
1773611726718020359,-0.07678592205047607,0.05836047977209091,-0.07426103949546814
1773611726789660835,-0.07678592205047607,0.05836047977209091,-0.07426103949546814
1773611726855511909,-0.07678592205047607,0.05836047977209091,-0.07426103949546814
1773611726921066677,-0.07678592205047607,0.05836047977209091,-0.07426103949546814
1773611726985693533,-0.07678592205047607,0.05836047977209091,-0.07426103949546814
1773611727050195825,-0.07678592205047607,0.05836047977209091,-0.07426103949546814
1773611727118255753,-0.07678592205047607,0.05836047977209091,-0.07426103949546814
1773611727186490034,-0.07678592205047607,0.05836047977209091,-0.07426103949546814
1773611727250343806,-0.07678592205047607,0.05836047977209091,-0.07426103949546814
1773611727319861238,-0.07678592205047607,0.05836047977209091,-0.07426103949546814
1773611727385598738,-0.07678592205047607,0.05836047977209091,-0.07426103949546814
1773611727453959003,-0.07678592205047607,0.05836047977209091,-0.07426103949546814
1773611727525261980,-0.07678592205047607,0.05836047977209091,-0.07426103949546814
1773611727591682148,-0.07678592205047607,0.05836047977209091,-0.07426103949546814
1773611727656086271,-0.07678592205047607,0.05836047977209091,-0.07426103949546814
